Start_time,End_time,Interval,N_45,N_60,N_84,Capa_45,Capa_60,Capa_84,Util_A_45,Util_B_45,Util_A_60,Util_B_60,Util_A_84,Util_B_84,Avg_Stay_A,Avg_Stay_B,Avg_Trav_A,Avg_Trav_B,Production
0,30,30,4,3,3,45,60,84,1,0,0,1,0,1,1.55,6.53,7.89,19.49,474
2,32,30,4,3,3,45,60,84,1,0,0,1,0,1,1.55,6.53,7.18,17.49,474
4,34,30,4,3,3,45,60,84,1,0,0,1,0,1,1.55,6.53,6.53,15.48,474
6,36,30,4,3,3,45,60,84,1,0,0,1,0,1,1.56,5.22,6.01,13.12,579
8,38,30,4,3,3,45,60,84,1,0,0,1,0,1,1.65,4.41,6.03,10.73,663
10,40,30,4,3,3,45,60,84,1,0,0,1,0,1,1.67,4.5,5.79,9.56,663
12,42,30,4,3,3,45,60,84,1,0,0,1,0,1,1.68,3.95,9.3,8.95,723
14,44,30,4,3,3,45,60,84,1,0,0,1,0,1,1.68,3.41,8.6,12.88,807
16,46,30,4,3,3,45,60,84,1,0,0,1,0,1,1.65,2.9,10.01,11.05,981
18,48,30,4,3,3,45,60,84,1,0,0,1,0,1,1.68,2.6,10.1,12.47,1065
20,50,30,4,3,3,45,60,84,1,0,0,1,0,1,1.68,2.28,10.33,11.74,1125
22,52,30,4,3,3,45,60,84,1,0,0,1,0,1,1.64,2.11,9.62,14.13,1080
24,54,30,4,3,3,45,60,84,1,0,0,1,0,1,1.55,1.88,8.11,12.63,1254
26,56,30,4,3,3,45,60,84,1,0,0,1,0,1,1.64,1.65,8.42,12.36,1338
28,58,30,4,3,3,45,60,84,1,0,0,1,0,1,1.64,1.48,8.71,11.69,1338
30,60,30,4,3,3,45,60,84,1,0,0,1,0,1,1.64,1.51,8.42,10.6,1338
32,62,30,4,3,3,45,60,84,1,0,0,1,0,1,1.6,1.51,7.46,9.6,1383
34,64,30,4,3,3,45,60,84,1,0,0,1,0,1,1.66,1.52,7.42,8.63,1527
36,66,30,4,3,3,45,60,84,1,0,0,1,0,1,1.61,1.54,6.85,8.91,1656
38,68,30,4,3,3,45,60,84,1,0,0,1,0,1,1.59,1.53,6.91,8.77,1527
40,70,30,4,3,4,45,60,84,1,0,0,1,0,1,1.58,1.46,6.84,8.65,1656
42,72,30,4,3,4,45,60,84,1,0,0,1,0,1,1.6,1.52,6.26,8.4,1635
44,74,30,4,3,4,45,60,84,1,0,0,1,0,1,1.54,1.59,6.63,7.59,1596
46,76,30,4,3,4,45,60,84,1,0,0,1,0,1,1.6,1.47,7.72,8.11,1650
48,78,30,4,3,4,45,60,84,1,0,0,1,0,1,1.57,1.52,6.79,8.28,1587
50,80,30,4,3,4,45,60,84,1,0,0,1,0,1,1.57,1.54,6.18,8.11,1527
52,82,30,4,3,4,45,60,84,1,0,0,1,0,1,1.57,1.55,5.34,8,1551
54,84,30,4,3,4,45,60,84,1,0,0,1,0,1,1.55,1.5,6.27,9.12,1482
56,86,30,4,3,4,45,60,84,1,0,0,1,0.13,0.88,1.58,1.57,6.67,9.05,1377
58,88,30,4,3,4,45,60,84,1,0,0,1,0.11,0.89,1.57,1.51,6.49,8.27,1461
60,90,30,4,3,4,45,60,84,1,0,0,1,0.11,0.89,1.58,1.49,5.89,9.17,1536
62,92,30,4,3,4,45,60,84,1,0,0,1,0.11,0.89,1.57,1.5,7.31,8.98,1536
64,94,30,4,3,4,45,60,84,1,0,0,1,0.13,0.88,1.57,1.44,7.8,9.77,1392
66,96,30,4,3,4,45,60,84,1,0,0,1,0.13,0.88,1.63,1.53,7.21,10.08,1332
68,98,30,4,3,4,45,60,84,1,0,0,1,0.2,0.8,1.59,1.53,7.87,9.19,1515
70,100,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.68,1.47,7.28,9.08,1515
72,102,30,3,3,4,45,60,84,1,0,0,1,0.25,0.75,1.68,1.44,6.58,9.13,1407
74,104,30,3,3,4,45,60,84,1,0,0,1,0.25,0.75,1.66,1.44,8.08,9.28,1452
76,106,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.72,1.4,8.73,10.21,1491
78,108,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.72,1.44,8.18,9.38,1431
80,110,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.72,1.43,7.51,9.46,1515
82,112,30,3,3,4,45,60,84,1,0,0,1,0.3,0.7,1.73,1.4,7.17,9.6,1575
84,114,30,3,3,4,45,60,84,1,0,0,1,0.27,0.73,1.67,1.39,7.6,8.74,1659
86,116,30,3,3,4,45,60,84,1,0,0,1,0.18,0.82,1.65,1.44,8.03,7.87,1749
88,118,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.65,1.41,7.37,8.46,1725
90,120,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.6,1.46,7.41,9.21,1521
92,122,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.65,1.46,6.73,8.36,1605
94,124,30,3,3,4,45,60,84,1,0,0,1,0.25,0.75,1.69,1.43,7.85,8.07,1683
96,126,30,3,3,4,45,60,84,1,0,0,1,0.25,0.75,1.69,1.43,7.12,8.27,1743
98,128,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.65,1.47,7.61,8.26,1605
100,130,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.67,1.47,7,7.28,1605
102,132,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.67,1.46,7.06,7.53,1605
104,134,30,3,3,4,45,60,84,1,0,0,1,0.18,0.82,1.69,1.43,8.29,7.97,1539
106,136,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.69,1.47,7.41,7.86,1455
108,138,30,3,3,4,45,60,84,1,0,0,1,0.2,0.8,1.64,1.49,6.89,7.34,1560
110,140,30,3,3,4,45,60,84,1,0,0,1,0.3,0.7,1.65,1.52,7.38,7.12,1605
112,142,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.7,1.51,7.43,7.45,1461
114,144,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.63,1.5,8.73,8.38,1416
116,146,30,3,3,4,45,60,84,1,0,0,1,0.25,0.75,1.77,1.51,8.11,8.42,1242
118,148,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.77,1.6,7.09,7.9,1326
120,150,30,3,3,4,45,60,84,1,0,0,1,0.3,0.7,1.72,1.57,6.83,7.77,1500
122,152,30,3,3,4,45,60,84,1,0,0,1,0.22,0.78,1.69,1.56,7.8,7.45,1431
124,154,30,3,3,4,45,60,84,1,0,0,1,0.25,0.75,1.69,1.5,7.03,9.08,1347
126,156,30,3,3,4,45,60,84,1,0,0,1,0.29,0.71,1.72,1.49,8.05,8.64,1158
128,158,30,3,3,4,45,60,84,1,0,0,1,0.38,0.63,1.62,1.43,7.11,8.32,1362
130,160,30,3,3,4,45,60,84,1,0,0,1,0.33,0.67,1.71,1.49,7.34,8.48,1431
132,162,30,3,3,4,45,60,84,1,0,0,1,0.3,0.7,1.72,1.48,6.92,8.58,1470
134,164,30,3,3,4,45,60,84,1,0,0,1,0.27,0.73,1.72,1.4,6.27,9.03,1614
